CIRCOSCRIZIONE,COMUNE,ELETTORI,ELETTORI_MASCHI,VOTANTI,VOTANTI_MASCHI,SCHEDE_BIANCHE,CASAPOUND ITALIA,IL POPOLO DELLA FAMIGLIA,NOI CON L'ITALIA - UDC,LEGA,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI,+EUROPA,PARTITO DEMOCRATICO,ITALIA EUROPA INSIEME,CIVICA POPOLARE LORENZIN,LIBERI E UGUALI,PARTITO VALORE UMANO,POTERE AL POPOLO!,MOVIMENTO 5 STELLE,ITALIA AGLI ITALIANI,PARTITO REPUBBLICANO ITALIANO - ALA,10 VOLTE MEGLIO,PER UNA SINISTRA RIVOLUZIONARIA,GRANDE NORD,BLOCCO NAZIONALE PER LE LIBERTA',ITALIA NEL CUORE,RINASCIMENTO MIR,LISTA DEL POPOLO PER LA COSTITUZIONE,PATTO PER L'AUTONOMIA,SIAMO,PARTITO COMUNISTA,AUTODETERMINATZIONE,SVP - PATT,PD-UV-UVP-EPAV,POUR TOUS PER TUTTI PE TCHEUT,FI -FRAT. D'IT. -MOV.NUOVA VALLE D'AOSTA,RISPOSTA CIVICA,centre_right_coalition,centre_left_coalition,centre_right_coalition_perc,centre_left_coalition_perc
PIEMONTE 1,LEINI,12570,6190,9736,4906,70,93,22,161,2065,1175,316,250,1550,27,28,272,33,97,2981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3717,1855,38.17789646672144,19.052999178307314
PIEMONTE 1,LOMBARDORE,1377,695,1071,549,10,8,15,4,219,131,27,21,170,0,0,33,95,7,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,191,35.57422969187675,17.833800186741364
PIEMONTE 1,MAPPANO,5827,2884,4595,2310,16,45,15,15,916,514,147,107,852,12,14,142,8,36,1486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1592,985,34.64635473340588,21.436343852013056
PIEMONTE 1,MARENTINO,1086,563,831,439,6,8,1,6,176,103,22,39,170,4,7,39,6,5,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,220,36.94344163658243,26.47412755716005
PIEMONTE 1,MAZZE',3364,1664,2587,1312,22,32,12,17,640,258,81,83,503,8,6,78,5,27,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996,600,38.500193274062624,23.192887514495556
PIEMONTE 1,MOMBELLO DI TORINO,322,161,267,141,1,0,0,2,58,36,9,13,50,1,2,8,2,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,66,39.325842696629216,24.719101123595504
PIEMONTE 1,MONTALDO TORINESE,612,311,486,251,4,5,1,0,105,59,14,36,90,1,1,18,0,10,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,128,36.62551440329218,26.337448559670783
PIEMONTE 1,MONTANARO,4246,2057,3165,1579,29,44,14,41,618,313,95,86,644,12,13,125,7,66,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1067,755,33.712480252764614,23.85466034755134
PIEMONTE 1,MONTEU DA PO,667,337,489,255,0,2,2,0,119,49,7,16,84,0,4,19,2,10,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,104,35.787321063394685,21.267893660531698
PIEMONTE 1,MORIONDO TORINESE,698,351,574,292,5,8,1,4,142,98,20,18,80,2,1,10,4,7,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,101,45.99303135888502,17.59581881533101
