CIRCOSCRIZIONE,COMUNE,ELETTORI,ELETTORI_MASCHI,VOTANTI,VOTANTI_MASCHI,SCHEDE_BIANCHE,CASAPOUND ITALIA,IL POPOLO DELLA FAMIGLIA,NOI CON L'ITALIA - UDC,LEGA,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI,+EUROPA,PARTITO DEMOCRATICO,ITALIA EUROPA INSIEME,CIVICA POPOLARE LORENZIN,LIBERI E UGUALI,PARTITO VALORE UMANO,POTERE AL POPOLO!,MOVIMENTO 5 STELLE,ITALIA AGLI ITALIANI,PARTITO REPUBBLICANO ITALIANO - ALA,10 VOLTE MEGLIO,PER UNA SINISTRA RIVOLUZIONARIA,GRANDE NORD,BLOCCO NAZIONALE PER LE LIBERTA',ITALIA NEL CUORE,RINASCIMENTO MIR,LISTA DEL POPOLO PER LA COSTITUZIONE,PATTO PER L'AUTONOMIA,SIAMO,PARTITO COMUNISTA,AUTODETERMINATZIONE,SVP - PATT,PD-UV-UVP-EPAV,POUR TOUS PER TUTTI PE TCHEUT,FI -FRAT. D'IT. -MOV.NUOVA VALLE D'AOSTA,RISPOSTA CIVICA,centre_right_coalition,centre_left_coalition,centre_right_coalition_perc,centre_left_coalition_perc
EMILIA-ROMAGNA,ROCCA SAN CASCIANO,1569,759,1222,613,7,3,4,9,295,156,40,14,300,3,6,38,0,5,259,3,4,0,14,0,0,0,0,0,0,0,7,0,0,0,0,0,0,500,323,40.91653027823241,26.432078559738137
EMILIA-ROMAGNA,RONCOFREDDO,2566,1312,2066,1093,17,8,12,16,448,209,37,36,369,9,5,42,0,17,696,19,15,0,3,0,0,0,0,0,0,0,16,0,0,0,0,0,0,710,419,34.36592449177154,20.280735721200386
EMILIA-ROMAGNA,SAN MAURO PASCOLI,8599,4142,6852,3382,58,42,56,47,1283,712,196,140,1346,26,22,204,0,37,2260,40,9,0,7,0,0,0,0,0,0,0,49,0,0,0,0,0,0,2238,1534,32.66199649737303,22.387624051371862
EMILIA-ROMAGNA,SANTA SOFIA,3074,1471,2443,1221,22,4,8,13,616,209,88,35,688,11,5,75,0,23,455,14,3,0,4,0,0,0,0,0,0,0,35,0,0,0,0,0,0,926,739,37.904216127711834,30.249693000409334
EMILIA-ROMAGNA,SARSINA,2735,1373,2166,1130,22,19,17,12,473,275,78,27,352,6,9,68,0,9,652,19,7,0,3,0,0,0,0,0,0,0,17,0,0,0,0,0,0,838,394,38.688827331486614,18.19021237303786
EMILIA-ROMAGNA,SAVIGNANO SUL RUBICONE,12582,6157,10011,5038,98,63,99,51,1854,1010,255,201,2196,45,36,275,0,72,3094,56,23,0,14,0,0,0,0,0,0,0,77,0,0,0,0,0,0,3170,2478,31.66516831485366,24.75277195085406
EMILIA-ROMAGNA,SOGLIANO AL RUBICONE,2435,1201,1927,976,19,21,13,18,443,171,59,25,380,4,7,45,0,8,593,10,3,0,3,0,0,0,0,0,0,0,22,0,0,0,0,0,0,691,416,35.85884795018163,21.58796056045667
EMILIA-ROMAGNA,VERGHERETO,1492,768,1117,606,17,33,6,15,302,113,42,11,214,2,3,14,0,5,280,4,2,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,472,230,42.256042972247094,20.590868397493285
EMILIA-ROMAGNA,BELLARIA-IGEA MARINA,14255,6931,10982,5525,89,103,67,117,2293,1775,377,269,1918,37,59,221,0,80,3035,57,20,0,12,0,0,0,0,0,0,0,48,0,0,0,0,0,0,4562,2283,41.540702968493896,20.78856310325988
EMILIA-ROMAGNA,SANTARCANGELO DI ROMAGNA,16897,8162,13652,6824,141,80,122,73,2523,1385,332,355,3265,63,64,433,0,149,3879,80,23,0,19,0,0,0,0,0,0,0,99,0,0,0,0,0,0,4313,3747,31.592440668033987,27.44652798124817
EMILIA-ROMAGNA,ALFONSINE,9218,4461,7447,3698,72,36,27,20,1187,517,131,117,2624,33,31,339,0,38,1789,27,46,0,10,0,0,0,0,0,0,0,101,0,0,0,0,0,0,1855,2805,24.909359473613534,37.66617429837518
EMILIA-ROMAGNA,BAGNACAVALLO,12646,6118,10282,5103,103,51,57,51,1845,763,238,288,3055,73,38,425,0,81,2512,45,59,0,13,0,0,0,0,0,0,0,107,0,0,0,0,0,0,2897,3454,28.17545224664462,33.59268624781171
EMILIA-ROMAGNA,CERVIA,22241,10577,17675,8610,133,101,97,52,3414,1947,502,381,4353,93,65,560,0,143,4629,56,130,0,28,0,0,0,0,0,0,0,154,0,0,0,0,0,0,5915,4892,33.46534653465347,27.677510608203676
EMILIA-ROMAGNA,CONSELICE,6927,3371,5413,2693,44,15,28,24,871,376,128,67,1821,24,19,162,0,42,1455,22,7,0,18,0,0,0,0,0,0,0,91,0,0,0,0,0,0,1399,1931,25.845187511546275,35.67337890264179
EMILIA-ROMAGNA,FUSIGNANO,6078,2951,4738,2351,54,29,18,21,801,354,82,73,1552,38,18,167,0,29,1180,15,17,0,6,0,0,0,0,0,0,0,69,0,0,0,0,0,0,1258,1681,26.551287463064583,35.47910510764035
EMILIA-ROMAGNA,LUGO,24373,11581,19480,9573,172,63,183,165,3739,1879,604,498,5929,140,79,645,0,137,4087,81,46,0,26,0,0,0,0,0,0,0,198,0,0,0,0,0,0,6387,6646,32.78747433264887,34.1170431211499
EMILIA-ROMAGNA,MASSA LOMBARDA,7348,3582,5709,2830,43,30,49,20,779,364,121,94,1885,31,32,226,0,55,1583,17,11,0,16,0,0,0,0,0,0,0,91,0,0,0,0,0,0,1284,2042,22.49080399369417,35.76808547906814
EMILIA-ROMAGNA,RAVENNA,119247,57108,93454,45921,639,500,570,536,15423,8234,2679,2530,24424,709,447,4006,0,850,25581,359,1019,0,128,0,0,0,0,0,0,0,837,0,0,0,0,0,0,26872,28110,28.754253429494725,30.078969332505835
EMILIA-ROMAGNA,RUSSI,9248,4499,7439,3717,63,32,33,90,1448,674,187,181,1666,105,30,321,0,93,1942,43,101,0,10,0,0,0,0,0,0,0,74,0,0,0,0,0,0,2399,1982,32.24895819330555,26.643366043823097
EMILIA-ROMAGNA,SANT'AGATA SUL SANTERNO,2149,1061,1698,852,17,4,12,7,348,191,46,44,406,3,4,30,0,19,452,13,12,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,592,457,34.86454652532391,26.914016489988224
EMILIA-ROMAGNA,CASTELDELCI,329,162,225,113,0,3,0,3,64,22,14,6,52,2,1,9,0,6,32,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,103,61,45.77777777777778,27.111111111111114
EMILIA-ROMAGNA,CATTOLICA,12999,6124,9931,4821,67,43,43,50,1563,1076,321,244,2280,35,30,268,0,135,3195,41,13,0,10,0,0,0,0,0,0,0,60,0,0,0,0,0,0,3010,2589,30.30913301782298,26.069882187090926
EMILIA-ROMAGNA,CORIANO,8133,4048,6848,3630,52,32,40,34,1397,717,213,120,1384,49,32,138,0,70,2151,38,16,0,14,0,0,0,0,0,0,0,47,0,0,0,0,0,0,2361,1585,34.47721962616823,23.145443925233643
EMILIA-ROMAGNA,GEMMANO,892,459,683,371,3,10,3,2,159,102,23,6,79,0,1,19,0,12,212,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,286,86,41.874084919472914,12.591508052708638
EMILIA-ROMAGNA,MAIOLO,657,343,510,287,7,2,3,2,122,63,18,1,92,2,6,7,0,3,143,4,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,205,101,40.19607843137255,19.80392156862745
EMILIA-ROMAGNA,MISANO ADRIATICO,10063,4940,8028,4039,57,53,41,28,1458,787,352,123,1680,26,44,211,0,51,2668,56,10,0,10,0,0,0,0,0,0,0,43,0,0,0,0,0,0,2625,1873,32.69805680119581,23.33084205281515
EMILIA-ROMAGNA,MONDAINO,1072,534,873,457,14,7,7,5,189,73,25,11,191,2,1,27,0,6,261,4,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,292,205,33.44788087056128,23.482245131729666
EMILIA-ROMAGNA,MONTEFIORE CONCA,1758,884,1258,649,11,5,9,13,303,123,30,21,163,1,2,13,0,5,474,7,6,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,469,187,37.28139904610493,14.864864864864865
EMILIA-ROMAGNA,MONTEGRIDOLFO,790,391,599,302,6,3,4,7,87,52,21,6,122,0,3,10,0,6,231,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,167,131,27.879799666110184,21.869782971619365
EMILIA-ROMAGNA,MONTESCUDO - MONTE COLOMBO,5083,2581,3917,2029,28,30,20,18,805,538,111,51,455,7,14,55,0,25,1498,28,4,0,2,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1472,527,37.57978044421751,13.45417411284146
EMILIA-ROMAGNA,MORCIANO DI ROMAGNA,5188,2488,4085,2028,43,18,18,27,899,486,120,61,624,9,17,95,0,19,1430,9,9,0,4,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1532,711,37.503059975520195,17.40514075887393
EMILIA-ROMAGNA,NOVAFELTRIA,5555,2714,4323,2209,35,21,19,32,915,465,133,87,984,19,54,112,0,27,1175,13,9,0,6,0,0,0,0,0,0,0,30,0,0,0,0,0,0,1545,1144,35.73907009021513,26.463104325699742
EMILIA-ROMAGNA,PENNABILLI,2302,1139,1764,912,25,8,9,19,426,174,61,34,344,11,13,36,0,6,453,10,3,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,680,402,38.54875283446712,22.789115646258505
EMILIA-ROMAGNA,POGGIO TORRIANA,3953,1977,3137,1632,34,18,28,8,588,237,72,48,695,7,14,97,0,20,1071,18,3,0,4,0,0,0,0,0,0,0,36,0,0,0,0,0,0,905,764,28.849218999043675,24.354478801402614
EMILIA-ROMAGNA,RICCIONE,27250,12917,21332,10404,156,92,208,216,4243,2393,640,406,4602,75,116,494,0,124,6042,93,22,0,16,0,0,0,0,0,0,0,138,0,0,0,0,0,0,7492,5199,35.120945059066194,24.371835739733733
EMILIA-ROMAGNA,RIMINI,110376,52818,84283,41514,594,362,653,1073,14951,9254,2953,2323,18337,431,649,2645,0,701,23776,428,128,0,75,0,0,0,0,0,0,0,474,0,0,0,0,0,0,28231,21740,33.49548544783645,25.794050994862545
EMILIA-ROMAGNA,SALUDECIO,2301,1196,1718,919,11,22,10,4,357,202,37,28,266,2,5,33,0,10,599,7,5,0,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,600,301,34.92433061699651,17.52037252619325
EMILIA-ROMAGNA,SAN CLEMENTE,4030,1987,3050,1544,26,26,10,6,613,284,68,45,449,7,3,90,0,20,1228,13,4,0,5,0,0,0,0,0,0,0,23,0,0,0,0,0,0,971,504,31.836065573770494,16.524590163934427
EMILIA-ROMAGNA,SAN GIOVANNI IN MARIGNANO,7250,3537,5892,2956,44,33,23,20,964,614,151,105,1407,17,16,138,0,34,1992,32,4,0,9,0,0,0,0,0,0,0,48,0,0,0,0,0,0,1749,1545,29.68431771894094,26.221995926680247
EMILIA-ROMAGNA,SAN LEO,2135,1077,1595,852,14,6,28,16,318,149,50,16,303,7,11,43,0,11,495,12,6,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,533,337,33.41692789968652,21.128526645768027
EMILIA-ROMAGNA,SANT'AGATA FELTRIA,1775,913,1322,708,21,4,12,10,311,138,55,20,272,3,7,38,0,5,305,5,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,514,302,38.88048411497731,22.844175491679273
EMILIA-ROMAGNA,TALAMELLO,873,427,692,349,9,1,4,6,158,61,18,15,124,1,27,9,0,3,206,4,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,243,167,35.115606936416185,24.13294797687861
EMILIA-ROMAGNA,VERUCCHIO,7605,3786,5845,2982,58,21,46,35,1048,551,179,103,1248,24,18,153,0,37,1899,48,2,0,2,0,0,0,0,0,0,0,35,0,0,0,0,0,0,1813,1393,31.017964071856284,23.832335329341316
EMILIA-ROMAGNA,BERTINORO,8572,4229,6824,3446,46,40,61,21,1077,564,151,127,1819,33,18,219,0,46,2062,24,86,0,26,0,0,0,0,0,0,0,81,0,0,0,0,0,0,1813,1997,26.56799531066823,29.264361078546308
EMILIA-ROMAGNA,FORLI',88111,41881,68993,33786,466,440,779,391,11336,6333,2302,1972,18500,439,296,2671,0,516,17406,253,391,0,106,0,0,0,0,0,0,0,568,0,0,0,0,0,0,20362,21207,29.51313901410288,30.73790094647283
EMILIA-ROMAGNA,FORLIMPOPOLI,10073,4888,7983,3929,62,47,37,27,1223,695,188,187,2184,30,27,281,0,56,2146,24,82,0,30,0,0,0,0,0,0,0,61,0,0,0,0,0,0,2133,2428,26.719278466741827,30.41463109106852
EMILIA-ROMAGNA,MELDOLA,7447,3613,5684,2869,44,48,43,32,1113,506,162,77,1336,31,25,138,0,70,1646,25,31,0,18,0,0,0,0,0,0,0,64,0,0,0,0,0,0,1813,1469,31.896551724137932,25.84447572132301
EMILIA-ROMAGNA,MODIGLIANA,3539,1761,2727,1403,33,15,17,20,636,246,82,41,575,15,25,74,0,14,731,18,26,0,3,0,0,0,0,0,0,0,31,0,0,0,0,0,0,984,656,36.08360836083608,24.055738907224054
EMILIA-ROMAGNA,TREDOZIO,965,482,742,382,7,10,4,6,205,61,38,14,195,3,2,15,0,6,134,4,1,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,310,214,41.77897574123989,28.84097035040431
EMILIA-ROMAGNA,BAGNARA DI ROMAGNA,1764,874,1450,737,12,7,11,2,295,136,34,15,415,3,9,43,0,12,385,5,1,0,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,467,442,32.20689655172414,30.482758620689655
EMILIA-ROMAGNA,BRISIGHELLA,5872,2930,4615,2366,53,16,35,46,926,382,272,103,1148,24,16,172,0,38,1062,43,14,0,4,0,0,0,0,0,0,0,50,0,0,0,0,0,0,1626,1291,35.232936078006496,27.973997833152765
EMILIA-ROMAGNA,CASOLA VALSENIO,2036,1017,1625,846,19,10,10,8,335,165,36,31,459,6,17,64,0,10,347,6,3,0,3,0,0,0,0,0,0,0,20,0,0,0,0,0,0,544,513,33.47692307692308,31.56923076923077
EMILIA-ROMAGNA,CASTEL BOLOGNESE,7031,3432,5690,2877,60,15,47,74,1097,520,161,111,1458,27,29,256,0,33,1447,29,13,0,2,0,0,0,0,0,0,0,58,0,0,0,0,0,0,1852,1625,32.54833040421793,28.558875219683657
EMILIA-ROMAGNA,COTIGNOLA,5769,2753,4736,2323,43,20,51,33,822,412,116,108,1364,41,28,150,0,39,1179,21,21,0,9,0,0,0,0,0,0,0,46,0,0,0,0,0,0,1383,1541,29.20185810810811,32.53800675675676
EMILIA-ROMAGNA,FAENZA,43812,21115,34749,17238,267,113,384,198,6049,2922,1065,1183,9221,486,214,1611,0,317,8223,288,83,0,46,0,0,0,0,0,0,0,296,0,0,0,0,0,0,10234,11104,29.451207228985005,31.954876399320842
EMILIA-ROMAGNA,RIOLO TERME,4326,2149,3563,1816,45,7,72,30,622,318,94,87,973,35,15,119,0,18,877,14,7,0,4,0,0,0,0,0,0,0,60,0,0,0,0,0,0,1064,1110,29.862475442043223,31.153522312657874
EMILIA-ROMAGNA,SOLAROLO,3235,1561,2602,1310,34,13,14,17,501,249,61,55,730,13,15,90,0,20,617,19,6,0,2,0,0,0,0,0,0,0,32,0,0,0,0,0,0,828,813,31.821675634127594,31.24519600307456
EMILIA-ROMAGNA,ARGENTA,16771,8104,13349,6640,140,73,38,36,2794,1260,451,206,3971,61,71,296,0,69,2982,67,24,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4541,4309,34.01752940295153,32.2795715034834
EMILIA-ROMAGNA,BERRA,3872,1935,2911,1524,40,19,11,8,766,368,85,21,562,17,16,58,0,16,707,12,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1227,616,42.15046375815871,21.1611130195809
EMILIA-ROMAGNA,CODIGORO,9730,4605,7437,3676,54,34,32,22,1967,850,173,95,1338,86,31,124,0,45,2039,40,16,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3012,1550,40.50020169423155,20.841737259647708
EMILIA-ROMAGNA,COMACCHIO,18445,9096,13124,6668,142,103,86,44,3938,2230,399,141,1806,40,50,205,0,92,2975,69,31,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6611,2037,50.373361779945135,15.521182566290765
EMILIA-ROMAGNA,COPPARO,13826,6625,10886,5421,137,82,46,37,2474,1091,302,178,2544,40,62,278,0,74,2687,55,12,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3904,2824,35.86257578541245,25.941576336579093
EMILIA-ROMAGNA,FERRARA,104463,48944,82989,40028,787,516,303,356,18032,8151,2817,3214,19058,670,828,3244,0,804,17283,339,127,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29356,23770,35.373362734820276,28.64235019098917
EMILIA-ROMAGNA,FISCAGLIA,7364,3564,5619,2848,89,40,19,14,1328,445,137,81,1233,12,31,160,0,51,1503,33,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1924,1357,34.24096814379783,24.150204662751378
EMILIA-ROMAGNA,FORMIGNANA,2277,1103,1810,922,22,5,10,13,401,152,63,20,406,10,5,42,0,5,479,7,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,441,34.751381215469614,24.364640883977902
EMILIA-ROMAGNA,GORO,3177,1531,2486,1246,27,9,5,3,817,380,92,13,360,8,1,43,0,4,601,21,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1292,382,51.97103781174578,15.366049879324214
EMILIA-ROMAGNA,JOLANDA DI SAVOIA,2373,1155,1836,924,24,2,20,11,413,181,19,14,455,4,7,52,0,10,475,6,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,480,33.98692810457516,26.143790849673206
EMILIA-ROMAGNA,LAGOSANTO,4031,1964,3211,1607,32,11,14,6,887,335,76,22,460,15,8,81,0,9,1010,19,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304,505,40.61040174400498,15.72718779196512
EMILIA-ROMAGNA,MASI TORELLO,1904,901,1551,757,30,10,12,7,453,170,76,19,243,6,8,31,0,8,326,13,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,276,45.51901998710509,17.79497098646035
EMILIA-ROMAGNA,MESOLA,5705,2790,4343,2223,37,33,19,17,1209,504,122,52,829,14,15,73,0,15,1153,28,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1852,910,42.643334100851945,20.953258116509325
EMILIA-ROMAGNA,OSTELLATO,5023,2445,3950,1974,56,29,28,10,1021,418,106,52,831,11,16,109,0,46,936,31,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1555,910,39.36708860759494,23.037974683544306
EMILIA-ROMAGNA,PORTOMAGGIORE,8937,4328,6933,3481,75,33,19,34,1791,754,199,106,1674,30,32,135,0,102,1448,46,9,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2778,1842,40.069234097793164,26.56858502812635
EMILIA-ROMAGNA,RO,2688,1306,2129,1097,36,11,4,13,477,216,46,34,526,6,18,37,0,18,524,13,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,584,35.321747299201505,27.430718647252235
EMILIA-ROMAGNA,TRESIGALLO,3505,1640,2706,1325,15,14,12,11,561,244,115,51,667,18,16,77,0,20,690,16,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931,752,34.405025868440504,27.79009608277901
EMILIA-ROMAGNA,VOGHIERA,3073,1485,2469,1245,37,8,9,16,607,263,102,50,544,18,16,49,0,16,518,16,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,628,40.01620089104901,25.435398946942083
EMILIA-ROMAGNA,BONDENO,11197,5367,8738,4332,112,59,37,51,2871,828,229,153,2031,37,47,203,0,46,1558,50,12,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3979,2268,45.5367360952163,25.955596246280617
EMILIA-ROMAGNA,CENTO,26471,13051,20834,10503,200,202,141,95,5521,2256,861,393,3685,93,112,468,0,105,5569,120,14,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8733,4283,41.91705865412307,20.557742152251127
EMILIA-ROMAGNA,POGGIO RENATICO,7477,3646,5930,3298,63,30,61,15,1436,529,209,133,1271,22,32,195,0,45,1581,39,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2189,1458,36.91399662731872,24.586846543001688
EMILIA-ROMAGNA,TERRE DEL RENO,7739,3783,6228,3119,70,39,57,27,1783,728,210,90,1199,52,28,116,0,24,1457,38,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2748,1369,44.1233140655106,21.981374438021835
EMILIA-ROMAGNA,VIGARANO MAINARDA,6169,2991,4997,2494,60,30,18,22,1278,489,219,83,1069,25,31,127,0,42,1274,25,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,1208,40.18411046627976,24.174504702821693
EMILIA-ROMAGNA,BASTIGLIA,3016,1505,2502,1265,27,14,10,9,414,230,57,64,619,15,8,96,0,27,779,10,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,706,28.377298161470822,28.21742605915268
EMILIA-ROMAGNA,BOMPORTO,7409,3689,6045,3060,54,36,29,35,1094,538,165,82,1310,24,13,182,0,41,2077,29,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1832,1429,30.306038047973534,23.639371381306866
EMILIA-ROMAGNA,CAMPOSANTO,2267,1138,1862,954,33,27,10,11,442,217,55,25,437,13,10,62,0,7,415,17,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,485,38.93662728249194,26.04726100966702
EMILIA-ROMAGNA,CAVEZZO,5213,2507,4247,2088,67,22,36,27,967,421,119,78,1147,29,22,112,0,31,986,22,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534,1276,36.11961384506711,30.044737461737697
EMILIA-ROMAGNA,CONCORDIA SULLA SECCHIA,6215,2994,4916,2466,70,24,41,27,1024,485,124,89,1363,32,25,128,0,20,1223,27,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1660,1509,33.76729048006509,30.695687550854355
EMILIA-ROMAGNA,FINALE EMILIA,11441,5526,8819,4365,99,105,48,95,2158,845,285,168,1723,29,44,201,0,123,2370,53,7,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3383,1964,38.36035831726953,22.270098650640662
EMILIA-ROMAGNA,MEDOLLA,4787,2323,3979,1985,49,19,30,16,858,298,109,71,1170,23,20,99,0,14,993,18,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281,1284,32.194018597637594,32.26941442573511
EMILIA-ROMAGNA,MIRANDOLA,17259,8279,13863,6833,181,69,112,91,3031,1349,377,289,3738,72,89,385,0,82,3167,72,17,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4848,4188,34.97078554425449,30.209911274615887
EMILIA-ROMAGNA,NONANTOLA,11814,5814,9634,4833,95,26,82,32,1235,703,172,199,2954,45,33,506,0,59,2929,37,7,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2142,3231,22.233755449449866,33.53747145526261
EMILIA-ROMAGNA,NOVI DI MODENA,7444,3662,5839,2916,64,32,27,23,974,439,134,92,2012,21,23,181,0,53,1451,27,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1570,2148,26.888165781811956,36.78712108237712
EMILIA-ROMAGNA,RAVARINO,4471,2220,3625,1850,35,9,17,19,615,329,74,78,994,14,14,130,0,27,1054,13,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1037,1100,28.606896551724137,30.344827586206897
EMILIA-ROMAGNA,SAN FELICE SUL PANARO,7848,3810,6311,3159,63,46,43,49,1600,556,176,106,1396,60,45,170,0,48,1612,44,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2381,1607,37.727776897480595,25.463476469656154
EMILIA-ROMAGNA,SAN POSSIDONIO,2579,1261,2059,1041,35,13,13,16,488,252,62,30,514,4,9,50,0,10,447,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818,557,39.72802331228752,27.05196697425935
EMILIA-ROMAGNA,SAN PROSPERO,4341,2189,3332,1694,35,14,20,27,629,308,53,48,767,17,9,73,0,16,790,15,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,841,30.52220888355342,25.240096038415366
EMILIA-ROMAGNA,CAMPOGALLIANO,6494,3221,5314,2664,60,34,27,34,774,438,136,124,1634,27,30,218,0,38,1431,18,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1382,1815,26.006774557771923,34.15506210011291
EMILIA-ROMAGNA,CARPI,51815,24751,40766,19694,404,225,201,202,5556,3425,1069,1116,12981,291,272,1731,0,403,10682,145,42,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10252,14660,25.14840798704803,35.96134033263013
EMILIA-ROMAGNA,MODENA,133467,63430,106474,51928,1056,457,719,626,14286,9723,3466,3978,31305,1038,773,6239,0,1302,24869,359,139,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28101,37094,26.39235869789808,34.838552134793474
EMILIA-ROMAGNA,SOLIERA,11693,5725,9455,4693,120,42,60,58,1303,738,185,195,2851,49,52,391,0,51,2860,42,7,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2284,3147,24.15653093601269,33.28397673188789
EMILIA-ROMAGNA,CASTELFRANCO EMILIA,23512,11682,18556,9410,164,93,66,58,2881,1492,438,410,5359,124,79,723,0,154,5564,55,13,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4869,5972,26.23949126967019,32.18366027161026
EMILIA-ROMAGNA,CASTELNUOVO RANGONE,10901,5374,8995,4536,68,46,37,31,1540,768,267,233,2615,71,52,337,0,70,2407,33,14,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2606,2971,28.971650917176213,33.029460811561975
EMILIA-ROMAGNA,CASTELVETRO DI MODENA,8314,4158,6777,3437,81,43,38,36,1166,607,190,146,1770,36,33,240,0,33,1937,20,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,1985,29.496827504795633,29.29024642172052
EMILIA-ROMAGNA,FANANO,2323,1165,1750,908,31,7,8,12,434,169,69,27,370,11,9,45,0,20,430,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,417,39.08571428571428,23.82857142857143
EMILIA-ROMAGNA,FIORANO MODENESE,13105,6432,10415,5226,128,53,52,65,1765,957,252,198,2323,57,51,262,0,52,3634,47,7,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3039,2629,29.179068650984156,25.242438790206435
EMILIA-ROMAGNA,FIUMALBO,1016,507,753,386,10,5,2,8,331,94,47,2,91,0,3,8,0,3,98,5,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,96,63.745019920318725,12.749003984063744
EMILIA-ROMAGNA,FORMIGINE,26641,13107,21844,10912,193,100,196,123,3639,2168,693,604,5293,141,99,811,0,187,6441,88,22,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6623,6137,30.31953854605384,28.09467130562168
EMILIA-ROMAGNA,FRASSINORO,1579,786,1121,582,20,5,5,11,268,113,28,20,257,5,7,27,0,0,289,7,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,289,37.46654772524532,25.780553077609277
EMILIA-ROMAGNA,GUIGLIA,2981,1525,2219,1168,34,14,17,9,598,216,63,51,402,6,6,62,0,19,586,17,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886,465,39.92789544840018,20.95538530869761
