comune,employment_rate,Regione
Padova  ,68.86,VENETO
Pernumia  ,70.31,VENETO
Piacenza d'Adige  ,65.36,VENETO
Piazzola sul Brenta  ,74.28,VENETO
Piombino Dese  ,71.02,VENETO
Piove di Sacco  ,70.42,VENETO
Polverara  ,76.13,VENETO
Ponso  ,71.51,VENETO
Ponte San Nicolò  ,73.48,VENETO
Pontelongo  ,65.85,VENETO
Pozzonovo  ,69.04,VENETO
Rovolon  ,73.47,VENETO
Rubano  ,71.37,VENETO
Saccolongo  ,71.67,VENETO
San Giorgio delle Pertiche  ,74.28,VENETO
San Giorgio in Bosco  ,72.50,VENETO
San Martino di Lupari  ,72.75,VENETO
San Pietro in Gu  ,69.07,VENETO
San Pietro Viminario  ,74.60,VENETO
Santa Giustina in Colle  ,73.48,VENETO
Sant'Angelo di Piove di Sacco  ,73.23,VENETO
Sant'Elena  ,74.33,VENETO
Sant'Urbano  ,68.70,VENETO
Saonara  ,73.07,VENETO
Selvazzano Dentro  ,71.78,VENETO
Solesino  ,67.91,VENETO
Stanghella  ,69.64,VENETO
Teolo  ,71.94,VENETO
Terrassa Padovana  ,72.43,VENETO
Tombolo  ,72.93,VENETO
Torreglia  ,69.89,VENETO
Trebaseleghe  ,72.53,VENETO
Tribano  ,70.57,VENETO
Urbana  ,69.75,VENETO
Veggiano  ,76.30,VENETO
Vescovana  ,73.75,VENETO
Vighizzolo d'Este  ,69.87,VENETO
Vigodarzere  ,71.74,VENETO
Vigonza  ,73.37,VENETO
Villa del Conte  ,72.58,VENETO
Villa Estense  ,69.55,VENETO
Villafranca Padovana  ,74.81,VENETO
Villanova di Camposampiero  ,73.23,VENETO
Vo'  ,72.50,VENETO
Adria  ,67.25,VENETO
Ariano nel Polesine  ,63.23,VENETO
Arquà Polesine  ,68.82,VENETO
Badia Polesine  ,69.71,VENETO
Bagnolo di Po  ,69.88,VENETO
Bergantino  ,70.05,VENETO
Bosaro  ,70.24,VENETO
Calto  ,66.17,VENETO
Canaro  ,69.88,VENETO
Canda  ,69.99,VENETO
Castelguglielmo  ,65.08,VENETO
Castelmassa  ,68.01,VENETO
Castelnovo Bariano  ,67.36,VENETO
Ceneselli  ,66.58,VENETO
Ceregnano  ,68.30,VENETO
Corbola  ,65.88,VENETO
Costa di Rovigo  ,68.71,VENETO
Crespino  ,68.45,VENETO
Ficarolo  ,61.68,VENETO
Fiesso Umbertiano  ,72.17,VENETO
Frassinelle Polesine  ,69.39,VENETO
Fratta Polesine  ,69.51,VENETO
Gaiba  ,71.35,VENETO
Gavello  ,66.81,VENETO
Giacciano con Baruchella  ,69.63,VENETO
Guarda Veneta  ,71.43,VENETO
Lendinara  ,69.51,VENETO
Loreo  ,61.94,VENETO
Lusia  ,71.23,VENETO
Melara  ,72.41,VENETO
Occhiobello  ,73.10,VENETO
Papozze  ,65.32,VENETO
Pettorazza Grimani  ,69.46,VENETO
Polesella  ,70.14,VENETO
Pincara  ,70.81,VENETO
Pontecchio Polesine  ,76.40,VENETO
Porto Tolle  ,71.04,VENETO
Porto Viro  ,65.40,VENETO
Rosolina  ,67.10,VENETO
Rovigo  ,69.98,VENETO
Salara  ,66.21,VENETO
San Bellino  ,69.41,VENETO
San Martino di Venezze  ,69.71,VENETO
Stienta  ,71.80,VENETO
Taglio di Po  ,67.60,VENETO
Trecenta  ,69.75,VENETO
Villadose  ,68.93,VENETO
Villamarzana  ,72.38,VENETO
Villanova del Ghebbo  ,69.83,VENETO
Villanova Marchesana  ,64.62,VENETO
Aiello del Friuli  ,70.82,FRIULI-VENEZIA GIULIA
Amaro  ,77.46,FRIULI-VENEZIA GIULIA
Ampezzo  ,67.59,FRIULI-VENEZIA GIULIA
Aquileia  ,71.44,FRIULI-VENEZIA GIULIA
Arta Terme  ,68.23,FRIULI-VENEZIA GIULIA
Artegna  ,71.69,FRIULI-VENEZIA GIULIA
Attimis  ,68.46,FRIULI-VENEZIA GIULIA
Bagnaria Arsa  ,71.73,FRIULI-VENEZIA GIULIA
Basiliano  ,71.03,FRIULI-VENEZIA GIULIA
Bertiolo  ,71.26,FRIULI-VENEZIA GIULIA
Bicinicco  ,72.06,FRIULI-VENEZIA GIULIA
Bordano  ,66.75,FRIULI-VENEZIA GIULIA
Buja  ,73.83,FRIULI-VENEZIA GIULIA
Buttrio  ,72.63,FRIULI-VENEZIA GIULIA
Camino al Tagliamento  ,71.91,FRIULI-VENEZIA GIULIA
Campoformido  ,70.33,FRIULI-VENEZIA GIULIA
Campolongo Tapogliano  ,70.77,FRIULI-VENEZIA GIULIA
Carlino  ,69.74,FRIULI-VENEZIA GIULIA
Cassacco  ,71.82,FRIULI-VENEZIA GIULIA
Castions di Strada  ,71.19,FRIULI-VENEZIA GIULIA
Cavazzo Carnico  ,70.70,FRIULI-VENEZIA GIULIA
Cercivento  ,67.95,FRIULI-VENEZIA GIULIA
Cervignano del Friuli  ,68.21,FRIULI-VENEZIA GIULIA
Chiopris-Viscone  ,75.92,FRIULI-VENEZIA GIULIA
Chiusaforte  ,65.35,FRIULI-VENEZIA GIULIA
Cividale del Friuli  ,70.41,FRIULI-VENEZIA GIULIA
Codroipo  ,72.22,FRIULI-VENEZIA GIULIA
Colloredo di Monte Albano  ,76.19,FRIULI-VENEZIA GIULIA
Comeglians  ,64.88,FRIULI-VENEZIA GIULIA
Corno di Rosazzo  ,71.33,FRIULI-VENEZIA GIULIA
Coseano  ,70.66,FRIULI-VENEZIA GIULIA
Dignano  ,73.89,FRIULI-VENEZIA GIULIA
Dogna  ,70.93,FRIULI-VENEZIA GIULIA
Drenchia  ,67.43,FRIULI-VENEZIA GIULIA
Enemonzo  ,70.79,FRIULI-VENEZIA GIULIA
Faedis  ,68.38,FRIULI-VENEZIA GIULIA
Fagagna  ,73.76,FRIULI-VENEZIA GIULIA
Fiumicello Villa Vicentina  ,70.95,FRIULI-VENEZIA GIULIA
Flaibano  ,70.53,FRIULI-VENEZIA GIULIA
Forgaria nel Friuli  ,70.28,FRIULI-VENEZIA GIULIA
Forni Avoltri  ,64.82,FRIULI-VENEZIA GIULIA
Forni di Sopra  ,65.44,FRIULI-VENEZIA GIULIA
Forni di Sotto  ,67.98,FRIULI-VENEZIA GIULIA
Gemona del Friuli  ,71.48,FRIULI-VENEZIA GIULIA
Gonars  ,72.87,FRIULI-VENEZIA GIULIA
Grimacco  ,63.74,FRIULI-VENEZIA GIULIA
Latisana  ,66.47,FRIULI-VENEZIA GIULIA
Lauco  ,66.67,FRIULI-VENEZIA GIULIA
Lestizza  ,71.03,FRIULI-VENEZIA GIULIA
Lignano Sabbiadoro  ,61.30,FRIULI-VENEZIA GIULIA
Lusevera  ,65.32,FRIULI-VENEZIA GIULIA
Magnano in Riviera  ,74.82,FRIULI-VENEZIA GIULIA
Majano  ,72.73,FRIULI-VENEZIA GIULIA
Malborghetto Valbruna  ,71.12,FRIULI-VENEZIA GIULIA
Manzano  ,69.67,FRIULI-VENEZIA GIULIA
Marano Lagunare  ,65.90,FRIULI-VENEZIA GIULIA
Martignacco  ,75.67,FRIULI-VENEZIA GIULIA
Mereto di Tomba  ,71.10,FRIULI-VENEZIA GIULIA
Moggio Udinese  ,71.25,FRIULI-VENEZIA GIULIA
Moimacco  ,71.30,FRIULI-VENEZIA GIULIA
Montenars  ,66.45,FRIULI-VENEZIA GIULIA
Mortegliano  ,70.86,FRIULI-VENEZIA GIULIA
Moruzzo  ,72.86,FRIULI-VENEZIA GIULIA
Muzzana del Turgnano  ,69.67,FRIULI-VENEZIA GIULIA
Nimis  ,67.16,FRIULI-VENEZIA GIULIA
Osoppo  ,70.08,FRIULI-VENEZIA GIULIA
Ovaro  ,69.86,FRIULI-VENEZIA GIULIA
Pagnacco  ,76.09,FRIULI-VENEZIA GIULIA
Palazzolo dello Stella  ,66.17,FRIULI-VENEZIA GIULIA
Palmanova  ,70.03,FRIULI-VENEZIA GIULIA
Paluzza  ,69.46,FRIULI-VENEZIA GIULIA
Pasian di Prato  ,72.28,FRIULI-VENEZIA GIULIA
Paularo  ,67.17,FRIULI-VENEZIA GIULIA
Pavia di Udine  ,73.17,FRIULI-VENEZIA GIULIA
Pocenia  ,68.82,FRIULI-VENEZIA GIULIA
Pontebba  ,67.88,FRIULI-VENEZIA GIULIA
Porpetto  ,70.41,FRIULI-VENEZIA GIULIA
Povoletto  ,72.39,FRIULI-VENEZIA GIULIA
Pozzuolo del Friuli  ,71.27,FRIULI-VENEZIA GIULIA
Pradamano  ,72.51,FRIULI-VENEZIA GIULIA
Prato Carnico  ,70.71,FRIULI-VENEZIA GIULIA
Precenicco  ,70.39,FRIULI-VENEZIA GIULIA
Premariacco  ,73.11,FRIULI-VENEZIA GIULIA
Preone  ,80.64,FRIULI-VENEZIA GIULIA
Prepotto  ,70.70,FRIULI-VENEZIA GIULIA
Pulfero  ,68.57,FRIULI-VENEZIA GIULIA
Ragogna  ,73.10,FRIULI-VENEZIA GIULIA
Ravascletto  ,65.55,FRIULI-VENEZIA GIULIA
Raveo  ,73.69,FRIULI-VENEZIA GIULIA
Reana del Rojale  ,72.31,FRIULI-VENEZIA GIULIA
Remanzacco  ,73.90,FRIULI-VENEZIA GIULIA
Resia  ,64.43,FRIULI-VENEZIA GIULIA
Resiutta  ,72.81,FRIULI-VENEZIA GIULIA
Rigolato  ,69.54,FRIULI-VENEZIA GIULIA
Rive d'Arcano  ,70.91,FRIULI-VENEZIA GIULIA
Rivignano Teor  ,69.81,FRIULI-VENEZIA GIULIA
Ronchis  ,67.45,FRIULI-VENEZIA GIULIA
Ruda  ,69.45,FRIULI-VENEZIA GIULIA
San Daniele del Friuli  ,74.28,FRIULI-VENEZIA GIULIA
San Giorgio di Nogaro  ,69.42,FRIULI-VENEZIA GIULIA
San Giovanni al Natisone  ,71.27,FRIULI-VENEZIA GIULIA
San Leonardo  ,69.50,FRIULI-VENEZIA GIULIA
San Pietro al Natisone  ,70.40,FRIULI-VENEZIA GIULIA
San Vito al Torre  ,69.11,FRIULI-VENEZIA GIULIA
San Vito di Fagagna  ,74.62,FRIULI-VENEZIA GIULIA
Santa Maria la Longa  ,70.18,FRIULI-VENEZIA GIULIA
Sappada  ,64.98,FRIULI-VENEZIA GIULIA
Sauris  ,73.99,FRIULI-VENEZIA GIULIA
Savogna  ,62.94,FRIULI-VENEZIA GIULIA
Sedegliano  ,72.13,FRIULI-VENEZIA GIULIA
Socchieve  ,64.18,FRIULI-VENEZIA GIULIA
Stregna  ,65.93,FRIULI-VENEZIA GIULIA
Sutrio  ,73,FRIULI-VENEZIA GIULIA
Taipana  ,67.91,FRIULI-VENEZIA GIULIA
Talmassons  ,70.85,FRIULI-VENEZIA GIULIA
Tarcento  ,72.18,FRIULI-VENEZIA GIULIA
Tarvisio  ,67.03,FRIULI-VENEZIA GIULIA
Tavagnacco  ,74.46,FRIULI-VENEZIA GIULIA
Terzo d'Aquileia  ,72.91,FRIULI-VENEZIA GIULIA
Tolmezzo  ,73.34,FRIULI-VENEZIA GIULIA
Torreano  ,71.81,FRIULI-VENEZIA GIULIA
Torviscosa  ,67.44,FRIULI-VENEZIA GIULIA
Trasaghis  ,67.68,FRIULI-VENEZIA GIULIA
Treppo Grande  ,73.21,FRIULI-VENEZIA GIULIA
Treppo Ligosullo  ,67.03,FRIULI-VENEZIA GIULIA
Tricesimo  ,71.36,FRIULI-VENEZIA GIULIA
Trivignano Udinese  ,72.31,FRIULI-VENEZIA GIULIA
Udine  ,69.41,FRIULI-VENEZIA GIULIA
Varmo  ,72.70,FRIULI-VENEZIA GIULIA
Venzone  ,70.66,FRIULI-VENEZIA GIULIA
Verzegnis  ,70.66,FRIULI-VENEZIA GIULIA
Villa Santina  ,71.93,FRIULI-VENEZIA GIULIA
Visco  ,73.94,FRIULI-VENEZIA GIULIA
Zuglio  ,72.42,FRIULI-VENEZIA GIULIA
Capriva del Friuli  ,70.96,FRIULI-VENEZIA GIULIA
Cormons  ,69.42,FRIULI-VENEZIA GIULIA
Doberdò del Lago-Doberdob  ,66.69,FRIULI-VENEZIA GIULIA
Dolegna del Collio  ,70.28,FRIULI-VENEZIA GIULIA
Farra d'Isonzo  ,75.34,FRIULI-VENEZIA GIULIA
Fogliano Redipuglia  ,71.52,FRIULI-VENEZIA GIULIA
Gorizia  ,67.39,FRIULI-VENEZIA GIULIA
Gradisca d'Isonzo  ,70.42,FRIULI-VENEZIA GIULIA
Grado  ,66.90,FRIULI-VENEZIA GIULIA
Mariano del Friuli  ,73.44,FRIULI-VENEZIA GIULIA
Medea  ,68.48,FRIULI-VENEZIA GIULIA
Monfalcone  ,65.85,FRIULI-VENEZIA GIULIA
Moraro  ,71.10,FRIULI-VENEZIA GIULIA
Mossa  ,71.50,FRIULI-VENEZIA GIULIA
Romans d'Isonzo  ,73.25,FRIULI-VENEZIA GIULIA
Ronchi dei Legionari  ,70.42,FRIULI-VENEZIA GIULIA
Sagrado  ,68.36,FRIULI-VENEZIA GIULIA
San Canzian d'Isonzo  ,70.90,FRIULI-VENEZIA GIULIA
San Floriano del Collio-Števerjan  ,70.10,FRIULI-VENEZIA GIULIA
San Lorenzo Isontino  ,73.34,FRIULI-VENEZIA GIULIA
San Pier d'Isonzo  ,70.56,FRIULI-VENEZIA GIULIA
Savogna d'Isonzo-Sovodnje ob Soči  ,72.29,FRIULI-VENEZIA GIULIA
Staranzano  ,70.40,FRIULI-VENEZIA GIULIA
Turriaco  ,72.41,FRIULI-VENEZIA GIULIA
Villesse  ,71,FRIULI-VENEZIA GIULIA
Duino Aurisina-Devin Nabrežina  ,70.01,FRIULI-VENEZIA GIULIA
Monrupino-Repentabor  ,71.50,FRIULI-VENEZIA GIULIA
Muggia  ,70.46,FRIULI-VENEZIA GIULIA
San Dorligo della Valle-Dolina  ,73.97,FRIULI-VENEZIA GIULIA
Sgonico-Zgonik  ,71.11,FRIULI-VENEZIA GIULIA
Trieste  ,68.97,FRIULI-VENEZIA GIULIA
Andreis  ,69.60,FRIULI-VENEZIA GIULIA
Arba  ,66.71,FRIULI-VENEZIA GIULIA
Aviano  ,69.25,FRIULI-VENEZIA GIULIA
Azzano Decimo  ,73.38,FRIULI-VENEZIA GIULIA
Barcis  ,71.11,FRIULI-VENEZIA GIULIA
Brugnera  ,72.87,FRIULI-VENEZIA GIULIA
Budoia  ,71.35,FRIULI-VENEZIA GIULIA
Caneva  ,71.45,FRIULI-VENEZIA GIULIA
Casarsa della Delizia  ,71.24,FRIULI-VENEZIA GIULIA
Castelnovo del Friuli  ,64.99,FRIULI-VENEZIA GIULIA
Cavasso Nuovo  ,69.68,FRIULI-VENEZIA GIULIA
Chions  ,72.95,FRIULI-VENEZIA GIULIA
Cimolais  ,79.13,FRIULI-VENEZIA GIULIA
Claut  ,71.64,FRIULI-VENEZIA GIULIA
Clauzetto  ,65.34,FRIULI-VENEZIA GIULIA
Cordenons  ,72.75,FRIULI-VENEZIA GIULIA
Cordovado  ,75.29,FRIULI-VENEZIA GIULIA
Erto e Casso  ,71.67,FRIULI-VENEZIA GIULIA
Fanna  ,67.78,FRIULI-VENEZIA GIULIA
Fiume Veneto  ,74.35,FRIULI-VENEZIA GIULIA
Fontanafredda  ,74.78,FRIULI-VENEZIA GIULIA
Frisanco  ,69.24,FRIULI-VENEZIA GIULIA
Maniago  ,70.98,FRIULI-VENEZIA GIULIA
Meduno  ,72.78,FRIULI-VENEZIA GIULIA
Montereale Valcellina  ,70.73,FRIULI-VENEZIA GIULIA
Morsano al Tagliamento  ,69.33,FRIULI-VENEZIA GIULIA
Pasiano di Pordenone  ,71.47,FRIULI-VENEZIA GIULIA
Pinzano al Tagliamento  ,68.63,FRIULI-VENEZIA GIULIA
Polcenigo  ,72.25,FRIULI-VENEZIA GIULIA
Porcia  ,73.35,FRIULI-VENEZIA GIULIA
Pordenone  ,70.10,FRIULI-VENEZIA GIULIA
Prata di Pordenone  ,71.18,FRIULI-VENEZIA GIULIA
Pravisdomini  ,69.33,FRIULI-VENEZIA GIULIA
Roveredo in Piano  ,72.54,FRIULI-VENEZIA GIULIA
Sacile  ,72.29,FRIULI-VENEZIA GIULIA
San Giorgio della Richinvelda  ,64.31,FRIULI-VENEZIA GIULIA
San Martino al Tagliamento  ,69.91,FRIULI-VENEZIA GIULIA
San Quirino  ,72.82,FRIULI-VENEZIA GIULIA
San Vito al Tagliamento  ,72.70,FRIULI-VENEZIA GIULIA
Sequals  ,72.77,FRIULI-VENEZIA GIULIA
Sesto al Reghena  ,75.37,FRIULI-VENEZIA GIULIA
Spilimbergo  ,70.09,FRIULI-VENEZIA GIULIA
Tramonti di Sopra  ,65.73,FRIULI-VENEZIA GIULIA
Tramonti di Sotto  ,68.82,FRIULI-VENEZIA GIULIA
Travesio  ,72.02,FRIULI-VENEZIA GIULIA
Vajont  ,67.39,FRIULI-VENEZIA GIULIA
Valvasone Arzene  ,71.29,FRIULI-VENEZIA GIULIA
Vito d'Asio  ,66.15,FRIULI-VENEZIA GIULIA
Vivaro  ,70.80,FRIULI-VENEZIA GIULIA
Zoppola  ,72.37,FRIULI-VENEZIA GIULIA
Agazzano  ,72.84,EMILIA-ROMAGNA
Alseno  ,73.69,EMILIA-ROMAGNA
Alta Val Tidone  ,71.94,EMILIA-ROMAGNA
Besenzone  ,76.44,EMILIA-ROMAGNA
Bettola  ,69.84,EMILIA-ROMAGNA
Bobbio  ,70.91,EMILIA-ROMAGNA
Borgonovo Val Tidone  ,71.99,EMILIA-ROMAGNA
Cadeo  ,72.19,EMILIA-ROMAGNA
Calendasco  ,72.73,EMILIA-ROMAGNA
Caorso  ,70.80,EMILIA-ROMAGNA
Carpaneto Piacentino  ,74.07,EMILIA-ROMAGNA
Castel San Giovanni  ,72.71,EMILIA-ROMAGNA
Castell'Arquato  ,74.34,EMILIA-ROMAGNA
Castelvetro Piacentino  ,72.17,EMILIA-ROMAGNA
Cerignale  ,60.42,EMILIA-ROMAGNA
Coli  ,68.15,EMILIA-ROMAGNA
Corte Brugnatella  ,65.48,EMILIA-ROMAGNA
Cortemaggiore  ,68.12,EMILIA-ROMAGNA
Farini  ,70.36,EMILIA-ROMAGNA
Ferriere  ,69.31,EMILIA-ROMAGNA
Fiorenzuola d'Arda  ,71,EMILIA-ROMAGNA
Gazzola  ,76.28,EMILIA-ROMAGNA
Gossolengo  ,78.53,EMILIA-ROMAGNA
Gragnano Trebbiense  ,72.61,EMILIA-ROMAGNA
Gropparello  ,66.36,EMILIA-ROMAGNA
Lugagnano Val d'Arda  ,69.54,EMILIA-ROMAGNA
Monticelli d'Ongina  ,70.25,EMILIA-ROMAGNA
Morfasso  ,71.61,EMILIA-ROMAGNA
Ottone  ,70.13,EMILIA-ROMAGNA
Piacenza  ,71.10,EMILIA-ROMAGNA
Pianello Val Tidone  ,72.12,EMILIA-ROMAGNA
Piozzano  ,70.32,EMILIA-ROMAGNA
Podenzano  ,74.96,EMILIA-ROMAGNA
Ponte dell'Olio  ,69.53,EMILIA-ROMAGNA
Pontenure  ,72.80,EMILIA-ROMAGNA
Rivergaro  ,74.57,EMILIA-ROMAGNA
Rottofreno  ,74.10,EMILIA-ROMAGNA
San Giorgio Piacentino  ,74.10,EMILIA-ROMAGNA
San Pietro in Cerro  ,79.30,EMILIA-ROMAGNA
Sarmato  ,70.77,EMILIA-ROMAGNA
Travo  ,71.21,EMILIA-ROMAGNA
Vernasca  ,72.08,EMILIA-ROMAGNA
Vigolzone  ,73.61,EMILIA-ROMAGNA
Villanova sull'Arda  ,71.43,EMILIA-ROMAGNA
Zerba  ,54.17,EMILIA-ROMAGNA
Ziano Piacentino  ,71.37,EMILIA-ROMAGNA
Albareto  ,73.28,EMILIA-ROMAGNA
Bardi  ,70.47,EMILIA-ROMAGNA
Bedonia  ,72.61,EMILIA-ROMAGNA
Berceto  ,71.66,EMILIA-ROMAGNA
Bore  ,72.60,EMILIA-ROMAGNA
Borgo Val di Taro  ,73.81,EMILIA-ROMAGNA
Busseto  ,74.07,EMILIA-ROMAGNA
Calestano  ,75.40,EMILIA-ROMAGNA
Collecchio  ,75.92,EMILIA-ROMAGNA
Colorno  ,72.10,EMILIA-ROMAGNA
Compiano  ,73.46,EMILIA-ROMAGNA
Corniglio  ,74.71,EMILIA-ROMAGNA
Felino  ,75.96,EMILIA-ROMAGNA
Fidenza  ,73.92,EMILIA-ROMAGNA
Fontanellato  ,75.49,EMILIA-ROMAGNA
Fontevivo  ,75.08,EMILIA-ROMAGNA
Fornovo di Taro  ,69.25,EMILIA-ROMAGNA
Langhirano  ,74.38,EMILIA-ROMAGNA
Lesignano de' Bagni  ,75.81,EMILIA-ROMAGNA
Medesano  ,73.66,EMILIA-ROMAGNA
Monchio delle Corti  ,72.46,EMILIA-ROMAGNA
Montechiarugolo  ,74.74,EMILIA-ROMAGNA
Neviano degli Arduini  ,73.39,EMILIA-ROMAGNA
Noceto  ,75.10,EMILIA-ROMAGNA
Palanzano  ,72.29,EMILIA-ROMAGNA
Parma  ,72.61,EMILIA-ROMAGNA
Pellegrino Parmense  ,68.06,EMILIA-ROMAGNA
Polesine Zibello  ,73.34,EMILIA-ROMAGNA
Roccabianca  ,72.09,EMILIA-ROMAGNA
Sala Baganza  ,75.08,EMILIA-ROMAGNA
Salsomaggiore Terme  ,70.52,EMILIA-ROMAGNA
San Secondo Parmense  ,74.25,EMILIA-ROMAGNA
Sissa Trecasali  ,74.63,EMILIA-ROMAGNA
Solignano  ,72.04,EMILIA-ROMAGNA
Soragna  ,76.70,EMILIA-ROMAGNA
Sorbolo Mezzani  ,74.06,EMILIA-ROMAGNA
Terenzo  ,73.17,EMILIA-ROMAGNA
Tizzano Val Parma  ,71.77,EMILIA-ROMAGNA
Tornolo  ,67.96,EMILIA-ROMAGNA
Torrile  ,76.19,EMILIA-ROMAGNA
Traversetolo  ,73.90,EMILIA-ROMAGNA
Valmozzola  ,73.97,EMILIA-ROMAGNA
Varano de' Melegari  ,78.16,EMILIA-ROMAGNA
Varsi  ,71.68,EMILIA-ROMAGNA
Albinea  ,76.18,EMILIA-ROMAGNA
Bagnolo in Piano  ,72.74,EMILIA-ROMAGNA
Baiso  ,74.50,EMILIA-ROMAGNA
Bibbiano  ,75.09,EMILIA-ROMAGNA
Boretto  ,71.03,EMILIA-ROMAGNA
Brescello  ,72.54,EMILIA-ROMAGNA
Cadelbosco di Sopra  ,72.73,EMILIA-ROMAGNA
Campagnola Emilia  ,72.30,EMILIA-ROMAGNA
Campegine  ,72.63,EMILIA-ROMAGNA
Canossa  ,72.88,EMILIA-ROMAGNA
Carpineti  ,74.33,EMILIA-ROMAGNA
Casalgrande  ,75.07,EMILIA-ROMAGNA
Casina  ,73.34,EMILIA-ROMAGNA
Castellarano  ,74.97,EMILIA-ROMAGNA
Castelnovo di Sotto  ,71.72,EMILIA-ROMAGNA
Castelnovo ne' Monti  ,74.94,EMILIA-ROMAGNA
Cavriago  ,73.46,EMILIA-ROMAGNA
Correggio  ,74.91,EMILIA-ROMAGNA
Fabbrico  ,70.42,EMILIA-ROMAGNA
Gattatico  ,72.83,EMILIA-ROMAGNA
Gualtieri  ,69.82,EMILIA-ROMAGNA
Guastalla  ,72.27,EMILIA-ROMAGNA
Luzzara  ,70.47,EMILIA-ROMAGNA
Montecchio Emilia  ,74.81,EMILIA-ROMAGNA
Novellara  ,72.60,EMILIA-ROMAGNA
Poviglio  ,71.76,EMILIA-ROMAGNA
Quattro Castella  ,75.81,EMILIA-ROMAGNA
Reggio nell'Emilia  ,72.56,EMILIA-ROMAGNA
Reggiolo  ,70.82,EMILIA-ROMAGNA
Rio Saliceto  ,72.80,EMILIA-ROMAGNA
Rolo  ,71.32,EMILIA-ROMAGNA
Rubiera  ,75.36,EMILIA-ROMAGNA
San Martino in Rio  ,75.21,EMILIA-ROMAGNA
San Polo d'Enza  ,72.90,EMILIA-ROMAGNA
Sant'Ilario d'Enza  ,72.28,EMILIA-ROMAGNA
Scandiano  ,74.73,EMILIA-ROMAGNA
Toano  ,73.35,EMILIA-ROMAGNA
Ventasso  ,71.69,EMILIA-ROMAGNA
Vetto  ,76.82,EMILIA-ROMAGNA
Vezzano sul Crostolo  ,75.19,EMILIA-ROMAGNA
Viano  ,75.10,EMILIA-ROMAGNA
Villa Minozzo  ,71.13,EMILIA-ROMAGNA
Bastiglia  ,73.50,EMILIA-ROMAGNA
Bomporto  ,74.95,EMILIA-ROMAGNA
Campogalliano  ,74.06,EMILIA-ROMAGNA
Camposanto  ,71.86,EMILIA-ROMAGNA
Carpi  ,70.48,EMILIA-ROMAGNA
Castelfranco Emilia  ,73.77,EMILIA-ROMAGNA
Castelnuovo Rangone  ,75.60,EMILIA-ROMAGNA
Castelvetro di Modena  ,75.62,EMILIA-ROMAGNA
Cavezzo  ,73.51,EMILIA-ROMAGNA
Concordia sulla Secchia  ,70.67,EMILIA-ROMAGNA
Fanano  ,69.55,EMILIA-ROMAGNA
Finale Emilia  ,71.64,EMILIA-ROMAGNA
Fiorano Modenese  ,73.09,EMILIA-ROMAGNA
Fiumalbo  ,70.66,EMILIA-ROMAGNA
Formigine  ,75.89,EMILIA-ROMAGNA
Frassinoro  ,73.98,EMILIA-ROMAGNA
Guiglia  ,73.72,EMILIA-ROMAGNA
Lama Mocogno  ,75.23,EMILIA-ROMAGNA
Maranello  ,74.60,EMILIA-ROMAGNA
Marano sul Panaro  ,76.41,EMILIA-ROMAGNA
Medolla  ,75.85,EMILIA-ROMAGNA
Mirandola  ,74.03,EMILIA-ROMAGNA
Modena  ,73.04,EMILIA-ROMAGNA
Montecreto  ,71.14,EMILIA-ROMAGNA
Montefiorino  ,76.48,EMILIA-ROMAGNA
Montese  ,73.54,EMILIA-ROMAGNA
Nonantola  ,74.37,EMILIA-ROMAGNA
Novi di Modena  ,68.88,EMILIA-ROMAGNA
Palagano  ,74.39,EMILIA-ROMAGNA
Pavullo nel Frignano  ,74.58,EMILIA-ROMAGNA
Pievepelago  ,66.52,EMILIA-ROMAGNA
Polinago  ,70.60,EMILIA-ROMAGNA
Prignano sulla Secchia  ,74.29,EMILIA-ROMAGNA
Ravarino  ,73.39,EMILIA-ROMAGNA
Riolunato  ,68.20,EMILIA-ROMAGNA
San Cesario sul Panaro  ,75.11,EMILIA-ROMAGNA
San Felice sul Panaro  ,71.43,EMILIA-ROMAGNA
San Possidonio  ,70.98,EMILIA-ROMAGNA
San Prospero  ,74.04,EMILIA-ROMAGNA
Sassuolo  ,70.75,EMILIA-ROMAGNA
Savignano sul Panaro  ,72.81,EMILIA-ROMAGNA
Serramazzoni  ,73.53,EMILIA-ROMAGNA
Sestola  ,73.80,EMILIA-ROMAGNA
Soliera  ,74.87,EMILIA-ROMAGNA
Spilamberto  ,73.43,EMILIA-ROMAGNA
Vignola  ,73.19,EMILIA-ROMAGNA
Zocca  ,71.82,EMILIA-ROMAGNA
Argelato  ,75.99,EMILIA-ROMAGNA
Alto Reno Terme  ,69.55,EMILIA-ROMAGNA
Anzola dell'Emilia  ,76.05,EMILIA-ROMAGNA
Baricella  ,71.12,EMILIA-ROMAGNA
Bentivoglio  ,76.97,EMILIA-ROMAGNA
Bologna  ,72.80,EMILIA-ROMAGNA
Borgo Tossignano  ,73.13,EMILIA-ROMAGNA
Budrio  ,75.81,EMILIA-ROMAGNA
Calderara di Reno  ,76.86,EMILIA-ROMAGNA
Camugnano  ,71.91,EMILIA-ROMAGNA
Casalecchio di Reno  ,75.24,EMILIA-ROMAGNA
Casalfiumanese  ,74,EMILIA-ROMAGNA
Castel d'Aiano  ,70.24,EMILIA-ROMAGNA
Castel del Rio  ,73.63,EMILIA-ROMAGNA
Castel di Casio  ,73,EMILIA-ROMAGNA
Castel Guelfo di Bologna  ,77.13,EMILIA-ROMAGNA
