CIRC-REG,COMUNE,ELETTORITOT,ELETTORIM,VOTANTITOT,VOTANTIM,SKBIANCHE,LEGA PER SALVINI PREMIER,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ALLEANZA VERDI E SINISTRA,+EUROPA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,MOVIMENTO 5 STELLE,AZIONE - ITALIA VIVA - CALENDA,ITALEXIT PER L'ITALIA,UNIONE POPOLARE CON DE MAGISTRIS,ITALIA SOVRANA E POPOLARE,VITA,FRATELLI D'ITALIA CON GIORGIA MELONI,MASTELLA NOI DI CENTRO EUROPEISTI,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,FREE,SUD CHIAMA NORD,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,PARTITO COMUNISTA ITALIANO,PARTITO DELLA FOLLIA CREATIVA,FORZA DEL POPOLO,SUDTIROLER VOLKSPARTEI (SVP) - PATT,centre_right_coalition,centre_left_coalition,centre_right_coalition_perc,centre_left_coalition_perc
PIEMONTE 1,CANDIOLO,4522,2241,3298,1652,42,259,201,11,613,132,150,19,473,240,86,43,61,34,680,0,0,0,0,0,0,0,0,0,1151,914,34.89993935718617,27.71376591873863
PIEMONTE 1,CANTALUPA,2139,1054,1555,770,24,128,93,9,250,66,72,5,169,131,38,17,30,23,390,0,0,0,0,0,0,0,0,0,620,393,39.87138263665595,25.27331189710611
PIEMONTE 1,CAPRIE,1713,867,1186,600,19,96,82,6,201,76,30,7,197,64,36,53,19,15,202,0,0,0,0,0,0,0,0,0,386,314,32.54637436762226,26.475548060708263
PIEMONTE 1,CARIGNANO,7026,3387,4802,2357,95,473,393,19,860,152,192,16,446,351,92,54,64,47,1209,0,0,0,0,0,0,0,0,0,2094,1220,43.60683048729696,25.406080799666807
PIEMONTE 1,CASELETTE,2410,1221,1705,866,13,147,123,9,284,47,72,9,243,123,39,22,16,20,425,0,0,0,0,0,0,0,0,0,704,412,41.29032258064516,24.164222873900293
PIEMONTE 1,CASTAGNOLE PIEMONTE,1703,850,1156,583,23,111,125,2,151,33,42,9,134,84,33,10,8,14,297,0,0,0,0,0,0,0,0,0,535,235,46.280276816608996,20.32871972318339
PIEMONTE 1,CAVOUR,4293,2127,2954,1491,45,403,352,24,350,50,114,3,173,176,57,21,36,22,910,0,0,0,0,0,0,0,0,0,1689,517,57.17670954637779,17.501692620176033
PIEMONTE 1,CERCENASCO,1453,707,950,475,14,97,87,4,125,21,32,0,84,88,14,9,10,11,264,0,0,0,0,0,0,0,0,0,452,178,47.578947368421055,18.736842105263158
PIEMONTE 1,CESANA TORINESE,748,414,490,279,4,52,37,1,64,15,17,3,19,50,15,11,3,3,164,0,0,0,0,0,0,0,0,0,254,99,51.83673469387755,20.20408163265306
PIEMONTE 1,CHIANOCCO,1301,628,857,431,5,81,57,2,92,34,26,3,120,41,43,33,16,10,200,0,0,0,0,0,0,0,0,0,340,155,39.6732788798133,18.08634772462077
PIEMONTE 1,CHIOMONTE,722,364,480,245,5,68,45,1,43,16,17,1,51,31,13,14,3,3,129,0,0,0,0,0,0,0,0,0,243,77,50.625,16.041666666666668
PIEMONTE 1,CHIUSA DI SAN MICHELE,1222,609,800,389,11,55,39,5,114,50,31,3,158,32,21,42,19,10,163,0,0,0,0,0,0,0,0,0,262,198,32.75,24.75
PIEMONTE 1,CLAVIERE,142,79,86,47,1,2,5,2,15,0,5,0,0,10,1,0,0,0,33,0,0,0,0,0,0,0,0,0,42,20,48.837209302325576,23.25581395348837
PIEMONTE 1,COAZZE,2606,1313,1664,863,31,187,120,13,222,48,33,9,162,202,57,17,47,21,377,0,0,0,0,0,0,0,0,0,697,312,41.887019230769226,18.75
PIEMONTE 1,CONDOVE,3742,1829,2509,1258,44,177,142,16,408,144,77,7,350,159,113,95,56,30,490,0,0,0,0,0,0,0,0,0,825,636,32.88162614587485,25.348744519728978
PIEMONTE 1,CUMIANA,6337,3154,4250,2118,44,357,262,15,822,176,208,18,388,256,98,44,56,39,1009,0,0,0,0,0,0,0,0,0,1643,1224,38.65882352941176,28.799999999999997
PIEMONTE 1,EXILLES,198,98,128,58,2,4,7,1,13,10,2,0,23,7,5,5,4,6,18,0,0,0,0,0,0,0,0,0,30,25,23.4375,19.53125
PIEMONTE 1,FENESTRELLE,418,211,291,152,8,38,19,0,41,12,8,0,18,32,3,5,2,7,74,0,0,0,0,0,0,0,0,0,131,61,45.017182130584196,20.962199312714777
PIEMONTE 1,FROSSASCO,2310,1138,1598,793,22,160,115,11,217,64,57,9,153,119,46,21,29,25,429,0,0,0,0,0,0,0,0,0,715,347,44.74342928660826,21.714643304130163
PIEMONTE 1,GARZIGLIANA,454,223,314,160,5,38,34,3,43,12,14,1,21,19,7,2,4,3,86,0,0,0,0,0,0,0,0,0,161,70,51.27388535031847,22.29299363057325
PIEMONTE 1,GIAGLIONE,525,256,376,185,8,32,17,0,67,24,12,2,47,32,8,20,1,6,67,0,0,0,0,0,0,0,0,0,116,105,30.851063829787233,27.925531914893615
PIEMONTE 1,GIAVENO,12994,6254,8582,4171,71,826,572,32,1163,265,280,23,773,1219,236,175,143,118,2018,0,0,0,0,0,0,0,0,0,3448,1731,40.17711489163365,20.17012351433232
PIEMONTE 1,GRAVERE,579,306,395,208,3,45,33,8,38,12,5,1,55,15,8,14,13,3,103,0,0,0,0,0,0,0,0,0,189,56,47.848101265822784,14.177215189873419
PIEMONTE 1,INVERSO PINASCA,591,300,359,186,3,42,21,3,72,8,8,0,27,10,12,4,9,1,78,0,0,0,0,0,0,0,0,0,144,88,40.11142061281337,24.512534818941504
PIEMONTE 1,LA LOGGIA,6999,3456,4903,2458,71,437,393,20,771,125,139,23,711,302,104,55,56,38,1294,0,0,0,0,0,0,0,0,0,2144,1058,43.728329594126045,21.578625331429738
